quadra,frequency
5-10-22-24,10
5-11-12-23,10
5-11-13-18,10
5-11-16-25,10
5-11-23-24,10
5-11-23-25,10
5-12-13-18,10
5-12-20-25,10
5-13-16-25,10
5-13-23-25,10
5-14-20-25,10
5-19-23-24,10
5-20-24-25,10
5-6-10-19,10
5-6-11-18,10
5-6-23-25,10
5-7-10-23,10
5-7-11-16,10
5-7-11-18,10
5-7-8-10,10
5-7-8-11,10
5-7-9-13,10
5-7-9-25,10
5-8-10-11,10
5-8-10-13,10
5-8-10-25,10
5-9-10-12,10
5-9-10-18,10
5-9-10-20,10
5-9-10-25,10
5-9-11-23,10
5-9-11-25,10
5-9-13-18,10
5-9-13-23,10
6-10-11-23,10
6-10-11-25,10
6-10-12-18,10
6-10-18-19,10
6-10-18-25,10
6-10-19-21,10
6-10-23-25,10
6-11-13-18,10
6-11-18-19,10
6-11-18-23,10
6-13-15-18,10
6-13-18-25,10
6-7-10-12,10
6-7-11-13,10
6-7-15-19,10
6-7-9-10,10
6-8-10-11,10
6-8-10-13,10
7-10-11-16,10
7-10-11-22,10
7-10-11-25,10
7-10-12-13,10
7-10-12-18,10
7-10-13-15,10
7-10-13-25,10
7-11-15-25,10
7-11-16-25,10
7-11-20-25,10
7-13-18-19,10
7-15-19-24,10
7-8-10-17,10
7-8-10-19,10
7-8-11-13,10
7-8-11-18,10
7-8-11-25,10
7-9-10-18,10
7-9-10-25,10
7-9-11-25,10
7-9-13-18,10
8-10-11-13,10
8-10-11-20,10
8-10-11-25,10
8-10-12-17,10
8-10-12-24,10
8-10-13-15,10
8-10-13-17,10
8-10-13-24,10
8-10-13-25,10
8-10-15-18,10
8-10-15-24,10
8-10-21-25,10
8-10-22-24,10
8-11-20-25,10
8-13-15-18,10
8-13-18-24,10
8-20-24-25,10
9-10-11-12,10
9-10-11-18,10
9-10-12-18,10
9-10-13-15,10
9-10-13-20,10
9-10-20-25,10
9-11-13-18,10
9-12-13-18,10
1-10-12-13,9
1-10-13-22,9
1-10-13-23,9
1-10-14-23,9
1-10-14-24,9
1-10-15-18,9
1-10-18-19,9
1-10-18-21,9
1-10-19-22,9
1-10-22-23,9
1-10-22-24,9
1-11-18-19,9
1-11-18-22,9
1-12-18-23,9
1-13-18-23,9
1-13-18-24,9
1-18-23-24,9
1-2-10-13,9
1-2-10-24,9
1-2-5-7,9
1-2-7-10,9
1-2-7-18,9
1-3-10-11,9
1-3-10-23,9
1-3-18-23,9
1-3-5-18,9
1-3-5-9,9
1-3-6-10,9
1-3-6-18,9
1-3-6-23,9
1-3-6-25,9
1-3-7-13,9
1-3-7-15,9
1-3-9-10,9
1-3-9-13,9
1-4-10-12,9
1-4-12-18,9
1-4-12-22,9
1-4-22-24,9
1-4-5-10,9
1-4-5-11,9
1-4-5-12,9
1-4-5-22,9
1-4-5-25,9
1-4-5-6,9
1-4-6-23,9
1-4-7-22,9
1-4-7-9,9
1-5-10-14,9
1-5-10-20,9
1-5-10-22,9
1-5-10-24,9
1-5-11-13,9
1-5-12-18,9
1-5-6-11,9
1-5-6-12,9
1-5-7-13,9
1-5-9-25,9
1-6-10-11,9
1-6-10-12,9
1-6-12-23,9
1-6-13-18,9
1-6-19-23,9
1-6-7-18,9
1-6-7-23,9
1-7-10-12,9
1-7-12-18,9
1-7-15-19,9
1-7-18-23,9
1-7-9-18,9
1-8-10-18,9
1-9-10-11,9
1-9-11-13,9
10-11-12-22,9
10-11-12-23,9
10-11-13-22,9
10-11-13-23,9
10-11-13-24,9
10-11-14-24,9
10-11-15-18,9
10-11-17-21,9
10-11-22-24,9
10-11-23-24,9
10-12-13-17,9
10-12-13-20,9
10-12-13-23,9
10-12-16-20,9
10-12-17-22,9
10-12-18-20,9
10-12-18-24,9
10-12-22-24,9
10-13-17-21,9
10-13-23-24,9
10-13-23-25,9
10-14-20-25,9
10-14-23-24,9
10-17-21-24,9
10-18-22-23,9
10-19-20-25,9
10-19-22-25,9
10-20-21-25,9
11-13-15-18,9
11-13-18-20,9
11-13-18-24,9
11-18-19-20,9
12-13-15-18,9
12-13-17-18,9
12-13-18-23,9
12-13-18-24,9
13-18-22-24,9
17-22-23-24,9
2-10-11-13,9
2-10-11-23,9
2-10-12-17,9
2-10-13-20,9
2-10-13-24,9
2-10-14-18,9
2-10-15-24,9
2-10-17-18,9
2-10-17-21,9
2-10-17-22,9
2-10-18-20,9
2-10-19-20,9
2-10-19-24,9
2-10-20-22,9
2-10-20-25,9
2-10-21-24,9
2-11-18-22,9
2-11-18-24,9
2-12-17-24,9
2-12-18-24,9
2-13-18-22,9
2-17-23-24,9
2-18-22-24,9
2-18-23-24,9
2-3-10-14,9
2-3-10-23,9
2-4-10-18,9
2-4-10-23,9
2-4-10-24,9
2-4-12-22,9
2-4-12-24,9
2-4-22-24,9
2-4-5-22,9
2-5-10-14,9
2-5-10-16,9
2-5-10-19,9
2-5-10-21,9
2-5-12-17,9
2-5-12-18,9
2-5-13-18,9
2-5-18-23,9
2-5-7-12,9
2-5-9-10,9
2-5-9-11,9
2-6-10-11,9
2-6-10-18,9
2-6-10-23,9
2-6-7-10,9
2-7-10-12,9
2-7-10-19,9
2-7-10-20,9
2-7-10-23,9
2-7-11-18,9
2-7-8-11,9
2-7-8-19,9
2-8-10-14,9
2-8-10-15,9
2-8-10-19,9
2-8-10-23,9
2-8-12-24,9
2-8-13-18,9
2-8-15-24,9
2-8-17-24,9
2-8-18-24,9
2-8-22-24,9
2-8-23-24,9
3-10-11-20,9
3-10-11-24,9
3-10-12-13,9
3-10-12-16,9
3-10-12-18,9
3-10-12-23,9
3-10-12-24,9
3-10-13-17,9
3-10-13-24,9
3-10-14-24,9
3-10-15-18,9
3-10-18-23,9
3-10-18-24,9
3-11-13-23,9
3-11-18-20,9
3-11-18-23,9
3-11-18-24,9
3-12-15-18,9
3-13-18-23,9
3-15-18-24,9
3-4-10-12,9
3-4-5-23,9
3-4-5-24,9
3-5-10-20,9
3-5-13-23,9
3-5-7-15,9
3-5-7-9,9
3-5-9-16,9
3-5-9-23,9
3-5-9-25,9
3-6-10-23,9
3-6-11-23,9
3-6-19-20,9
3-6-22-25,9
3-6-9-10,9
3-7-11-20,9
3-7-11-23,9
3-7-13-15,9
3-7-15-18,9
3-7-15-24,9
3-7-15-25,9
3-7-19-24,9
3-7-8-15,9
3-7-8-24,9
3-7-9-10,9
3-7-9-11,9
3-7-9-25,9
3-8-10-12,9
3-8-10-15,9
3-8-10-17,9
3-8-11-24,9
3-8-15-24,9
3-8-18-24,9
3-8-20-25,9
3-9-10-23,9
3-9-10-25,9
4-10-11-12,9
4-10-11-22,9
4-10-12-17,9
4-10-12-20,9
4-10-12-24,9
4-10-13-23,9
4-10-19-23,9
4-10-20-22,9
4-10-20-23,9
4-10-20-25,9
4-10-22-23,9
4-12-13-18,9
4-12-16-22,9
4-12-17-22,9
4-12-20-22,9
4-15-16-22,9
4-17-22-24,9
4-19-20-22,9
4-19-22-25,9
4-19-23-24,9
4-22-23-24,9
4-5-10-20,9
4-5-11-22,9
4-5-11-23,9
4-5-12-15,9
4-5-12-22,9
4-5-12-24,9
4-5-18-23,9
4-5-19-22,9
4-5-19-23,9
4-5-19-24,9
4-5-22-23,9
4-5-22-25,9
4-5-23-25,9
4-5-6-12,9
4-5-7-12,9
4-5-9-10,9
4-5-9-11,9
4-6-10-12,9
4-6-19-22,9
4-6-19-23,9
4-6-23-25,9
4-6-7-12,9
4-6-7-15,9
4-7-12-18,9
4-9-10-13,9
4-9-11-22,9
5-10-11-17,9
5-10-12-16,9
5-10-12-22,9
5-10-12-25,9
5-10-13-17,9
5-10-13-22,9
5-10-13-24,9
5-10-14-20,9
5-10-14-23,9
5-10-14-24,9
