terno,frequency
1-6-20,736
10-13-16,736
13-19-22,736
14-17-22,736
14-21-24,736
15-19-24,736
17-22-25,736
19-20-22,736
3-12-22,736
3-17-25,736
3-21-24,736
3-8-25,736
4-14-25,736
4-5-14,736
4-7-11,736
4-9-24,736
5-7-18,736
7-11-12,736
7-11-17,736
7-14-22,736
7-9-25,736
8-10-18,736
9-20-23,736
1-2-3,735
1-4-17,735
1-9-17,735
10-13-22,735
10-18-22,735
11-18-21,735
11-19-22,735
15-19-21,735
15-21-25,735
2-13-15,735
2-4-5,735
2-7-18,735
3-10-17,735
3-6-19,735
4-6-10,735
5-10-17,735
5-10-22,735
6-14-15,735
6-17-20,735
6-22-24,735
9-21-25,735
